english,sinhala,tamil,combined_label,encoded_label
Bad,නරක,கேடு,Bad|නරක|கேடு,14
Welcome,සාදරයෙන් පිළිගනිමු,வரவேற்பு,Welcome|සාදරයෙන් පිළිගනිමු|வரவேற்பு,360
Wrong,වැරදි,தவறு,Wrong|වැරදි|தவறு,372
Again,නැවත,மீண்டும்,Again|නැවත|மீண்டும்,2
Also,ද,மேலும்,Also|ද|மேலும்,6
Can,පුළුවන්,முடியும்,Can|පුළුවන්|முடியும்,36
Can't,බැහැ,முடியாது,Can't|බැහැ|முடியாது,35
Clearly,පැහැදිලිව,தெளிவாக,Clearly|පැහැදිලිව|தெளிவாக,51
Don’t,කරන්න එපා,செய்யாதே,Don’t|කරන්න එපා|செய்யாதே,82
Don’t know,දන්නේ නැහැ,தெரியாது,Don’t know|දන්නේ නැහැ|தெரியாது,81
Here,මෙහි,இங்கே,Here|මෙහි|இங்கே,145
Instead,වෙනුවට,பதிலாக,Instead|වෙනුවට|பதிலாக,162
Never,කිසිවිටෙකත්,ஒருபோதும் இல்லை,Never|කිසිවිටෙකත්|ஒருபோதும் இல்லை,207
Not like (dislike),අකමැති,பிடிக்கவில்லை,Not like (dislike)|අකමැති|பிடிக்கவில்லை,215
When,කවදාද,எப்போது,When|කවදාද|எப்போது,361
Where,කොහේද,எங்கே,Where|කොහේද|எங்கே,362
Why,ඇයි,ஏன்,Why|ඇයි|ஏன்,367
Black,කළු,கருப்பு,Black|කළු|கருப்பு,21
Blue,නිල්,நீலம்,Blue|නිල්|நீலம்,22
Brown,දුඹුරු,பழுப்பு,Brown|දුඹුරු|பழுப்பு,29
Color,වර්ණ,நிறம்,Color|වර්ණ|நிறம்,55
Gold,රන්,தங்கம்,Gold|රන්|தங்கம்,122
Gray,අළු,சாம்பல்,Gray|අළු|சாம்பல்,131
Green,කොළ,பச்சை,Green|කොළ|பச்சை,132
Orange,තැඹිලි,ஆரஞ்சு,Orange|තැඹිලි|ஆரஞ்சு,225
Pink,රෝස,இளஞ்சிவப்பு,Pink|රෝස|இளஞ்சிவப்பு,239
Purple,දම්,ஊதா,Purple|දම්|ஊதா,251
Red,රතු,சிவப்பு,Red|රතු|சிவப்பு,256
White,සුදු,வெள்ளை,White|සුදු|வெள்ளை,363
Yellow,කහ,மஞ்சள்,Yellow|කහ|மஞ்சள்,374
Or,හෝ,அல்லது,Or|හෝ|அல்லது,227
Day,දිනය,நாள்,Day|දිනය|நாள்,72
Day after tomorrow,අනිද්දා,நாளை மறுநாள்,Day after tomorrow|අනිද්දා|நாளை மறுநாள்,71
Evening,සැන්දෑව,மாலை,Evening|සැන්දෑව|மாலை,97
Friday,සිකුරාදා,வெள்ளி,Friday|සිකුරාදා|வெள்ளி,119
Good evening,සුබ සන්ධ්‍යාවක්,இனிய மாலை வணக்கம்,Good evening|සුබ සන්ධ්‍යාවක්|இனிய மாலை வணக்கம்,123
Good morning,සුබ උදෑසනක්,காலை வணக்கம்,Good morning|සුබ උදෑසනක්|காலை வணக்கம்,124
Good night,සුබ රාත්‍රියක්,இனிய இரவு,Good night|සුබ රාත්‍රියක්|இனிய இரவு,125
Hour,පැය,மணி,Hour|පැය|மணி,151
Monday,සඳුදා,திங்கள்,Monday|සඳුදා|திங்கள்,195
Morning,උදෑසන,காலை,Morning|උදෑසන|காலை,199
Night,රාත්‍රිය,இரவு,Night|රාත්‍රිය|இரவு,211
Saturday,සෙනසුරාදා,சனி,Saturday|සෙනසුරාදා|சனி,265
Seconds,තත්පර,நொடிகள்,Seconds|තත්පර|நொடிகள்,268
Sunday,ඉරිදා,ஞாயிறு,Sunday|ඉරිදා|ஞாயிறு,303
Thursday,බ්‍රහස්පතින්දා,வியாழன்,Thursday|බ්‍රහස්පතින්දා|வியாழன்,328
Time,වේලාව,நேரம்,Time|වේලාව|நேரம்,330
Today,අද,இன்று,Today|අද|இன்று,332
Tomorrow,හෙට,நாளை,Tomorrow|හෙට|நாளை,333
Tuesday,අඟහරුවාදා,செவ்வாய்,Tuesday|අඟහරුවාදා|செவ்வாய்,339
Wednesday,බදාදා,புதன்,Wednesday|බදාදා|புதன்,358
Week,සතිය,வாரம்,Week|සතිය|வாரம்,359
Yesterday,ඊයේ,நேற்று,Yesterday|ඊයේ|நேற்று,375
No,නෑ,இல்லை,No|නෑ|இல்லை,218
Alright,හරි,சரி,Alright|හරි|சரி,5
Ayubowan,ආයුබෝවන්,ஆயுபோவன்,Ayubowan|ආයුබෝවන්|ஆயுபோவன்,12
Hello,හෙලෝ,வணக்கம்,Hello|හෙලෝ|வணக்கம்,143
How are you,ඔයාට කොහොම ද,எப்படி இருக்கீங்க,How are you|ඔයාට කොහොම ද|எப்படி இருக்கீங்க,153
Thank you,ස්තුතියි,நன்றி,Thank you|ස්තුතියි|நன்றி,319
Yes,ඔව්,ஆம்,Yes|ඔව්|ஆம்,376
January,ජනවාරි,ஜனவரி,January|ජනවාරි|ஜனவரி,166
February,පෙබරවාරි,பிப்ரவரி,February|පෙබරවාරි|பிப்ரவரி,107
March,මාර්තු,மார்ச்,March|මාර්තු|மார்ச்,189
April,අප්‍රේල්,ஏப்ரல்,April|අප්‍රේල්|ஏப்ரல்,7
May,මැයි,மே,May|මැයි|மே,190
June,ජූනි,ஜூன்,June|ජූනි|ஜூன்,169
July,ජූලි,ஜூலை,July|ජූලි|ஜூலை,167
August,අගෝස්තු,ஆகஸ்ட்,August|අගෝස්තු|ஆகஸ்ட்,10
September,සැප්තැම්බර්,செப்டம்பர்,September|සැප්තැම්බර්|செப்டம்பர்,273
October,ඔක්තෝබර්,அக்டோபர்,October|ඔක්තෝබර්|அக்டோபர்,220
November,නොවැම්බර්,நவம்பர்,November|නොවැම්බර්|நவம்பர்,216
December,දෙසැම්බර්,டிசம்பர்,December|දෙසැම්බර්|டிசம்பர்,74
Month,මාසය,மாதம்,Month|මාසය|மாதம்,197
Year,වර්ෂය,ஆண்டு,Year|වර්ෂය|ஆண்டு,373
Article,අධ්‍යයන ලිපිය,கட்டுரை,Article|අධ්‍යයන ලිපිය|கட்டுரை,9
Bag,බෑගය,பை,Bag|බෑගය|பை,15
Bed,ඇඳ,படுக்கை,Bed|ඇඳ|படுக்கை,19
Book,පොත,புத்தகம்,Book|පොත|புத்தகம்,25
Camera,කැමරාව,கேமரா,Camera|කැමරාව|கேமரா,34
Card,කාඩ්පත,அட்டை,Card|කාඩ්පත|அட்டை,37
Cat,පූසා,பூனை,Cat|පූසා|பூனை,41
Ceiling fan,සීලින් ෆෑන්,விசிறி,Ceiling fan|සීලින් ෆෑන්|விசிறி,42
Cell phone,ජංගම දුරකථනය,மொபைல்,Cell phone|ජංගම දුරකථනය|மொபைல்,43
Chain,දාමය,சங்கிலி,Chain|දාමය|சங்கிலி,44
Children,දරුවන්,குழந்தைகள்,Children|දරුවන්|குழந்தைகள்,46
Choice,තේරීම,தேர்வு,Choice|තේරීම|தேர்வு,48
Clothing,ඇඳුම්,உடைகள்,Clothing|ඇඳුම්|உடைகள்,53
Computer,පරිගණකය,கணினி,Computer|පරිගණකය|கணினி,57
Cow,එළදෙන,பசு,Cow|එළදෙන|பசு,64
Crocodile,කිඹුලා,முதலை,Crocodile|කිඹුලා|முதலை,65
Culture,සංස්කෘතිය,பண்பாடு,Culture|සංස්කෘතිය|பண்பாடு,67
Door,දොර,கதவு,Door|දොර|கதவு,83
Elephant,අලියා,யானை,Elephant|අලියා|யானை,92
Eye,ඇස,கண்,Eye|ඇස|கண்,100
Eyes,ඇස්,கண்கள்,Eyes|ඇස්|கண்கள்,99
Face,මුහුණ,முகம்,Face|මුහුණ|முகம்,101
Fever,උණ,காய்ச்சல்,Fever|උණ|காய்ச்சல்,109
Flower,මල,மலர்,Flower|මල|மலர்,113
Food,ආහාර,உணவு,Food|ආහාර|உணவு,115
Group,කණ්ඩායම,குழு,Group|කණ්ඩායම|குழு,133
Gun,තුවක්කුව,துப்பாக்கி,Gun|තුවක්කුව|துப்பாக்கி,135
Hat,තොප්පිය,தொப்பி,Hat|තොප්පිය|தொப்பி,139
He,ඔහු,அவன்,He|ඔහු|அவன்,146
Health,සෞඛ්‍යය,உடல்நலம்,Health|සෞඛ්‍යය|உடல்நலம்,141
Hill,කන්ද,மலை,Hill|කන්ද|மலை,148
How many,කොපමණද,எத்தனை,How many|කොපමණද|எத்தனை,154
How much,කොපමණද,எவ்வளவு,How much|කොපමණද|எவ்வளவு,155
I,මම,நான்,I|මම|நான்,165
Impact,බලපෑම,தாக்கம்,Impact|බලපෑම|தாக்கம்,159
Internet,අන්තර්ජාලය,இணையம்,Internet|අන්තර්ජාලය|இணையம்,163
Key,යතුර,சாவி,Key|යතුර|சாவி,170
Laptop,ලැප්ටොප්,லேப்டாப்,Laptop|ලැප්ටොප්|லேப்டாப்,173
List,ලැයිස්තුව,பட்டியல்,List|ලැයිස්තුව|பட்டியல்,180
Lock,අගුල,பூட்டு,Lock|අගුල|பூட்டு,182
Middle,මැද,நடுவில்,Middle|මැද|நடுவில்,192
Milk,කිරි,பால்,Milk|කිරි|பால்,193
Mind,මනස,மனம்,Mind|මනස|மனம்,194
Money,මුදල්,பணம்,Money|මුදල්|பணம்,196
Moon,සඳ,நிலா,Moon|සඳ|நிலா,198
Movie,චිත‍්‍රපටය,திரைப்படம்,Movie|චිත‍්‍රපටය|திரைப்படம்,202
My,මගේ,என்,My|මගේ|என்,204
Network,ජාලය,நெட்வொர்க்,Network|ජාලය|நெட்வொர்க்,206
OK,හරි,சரி,OK|හරි|சரி,219
Our,අපේ,எங்கள்,Our|අපේ|எங்கள்,228
Paint,තීන්ත,வர்ணம்,Paint|තීන්ත|வர்ணம்,231
Part,කොටස,பகுதி,Part|කොටස|பகுதி,232
Path,මාවත,பாதை,Path|මාවත|பாதை,234
Peace,සාමය,அமைதி,Peace|සාමය|அமைதி,235
Pencil,පැන්සල,பென்சில்,Pencil|පැන්සල|பென்சில்,237
Phone,දුරකථනය,தொலைபேசி,Phone|දුරකථනය|தொலைபேசி,238
Pocket,සාක්කුව,பாக்கெட்,Pocket|සාක්කුව|பாக்கெட்,243
Point,ලක්ෂ්‍යය,புள்ளி,Point|ලක්ෂ්‍යය|புள்ளி,244
Problem,ප්‍රශ්නය,பிரச்சனை,Problem|ප්‍රශ්නය|பிரச்சனை,249
Radio,ගුවන්විදුලිය,ரேடியோ,Radio|ගුවන්විදුලිය|ரேடியோ,255
Ring,මුද්ද,மோதிரம்,Ring|මුද්ද|மோதிரம்,259
Sand,වැලි,மணல்,Sand|වැලි|மணல்,263
Saree,සාරි,சேலை,Saree|සාරි|சேலை,264
Shirt,කමිසය,சட்டை,Shirt|කමිසය|சட்டை,277
Sign,සංඥා,அடையாளங்கள்,Sign|සංඥා|அடையாளங்கள்,281
Sign language,සංඥා  භාෂාව,கைகாட்டி மொழி,Sign language|සංඥා  භාෂාව|கைகாட்டி மொழி,280
Skirt,සාය,பாவாடை,Skirt|සාය|பாவாடை,287
Society,සමාජය,சமூகம்,Society|සමාජය|சமூகம்,291
Song,ගීතය,பாடல்,Song|ගීතය|பாடல்,293
Squirrel,ලේනා,அணில்,Squirrel|ලේනා|அணில்,295
Street,වීදිය,தெரு,Street|වීදිය|தெரு,297
Structure,ව්‍යුහය,அமைப்பு,Structure|ව්‍යුහය|அமைப்பு,299
Suit,මිහිරි,சூட்,Suit|මිහිරි|சூட்,302
Table,මේසය,மேசை,Table|මේසය|மேசை,306
Tea,තේ,தேநீர்,Tea|තේ|தேநீர்,312
Team,කණ්ඩායම,குழு,Team|කණ්ඩායම|குழு,310
Technology,තාක්ෂණය,தொழில்நுட்பம்,Technology|තාක්ෂණය|தொழில்நுட்பம்,313
Telephone,දුරකථනය,தொலைபேசி,Telephone|දුරකථනය|தொலைபேசி,314
They,ඔවුන්,அவர்கள்,They|ඔවුන්|அவர்கள்,321
Tree,ගස,மரம்,Tree|ගස|மரம்,337
Weather,කාලගුණය,வானிலை,Weather|කාලගුණය|வானிலை,357
Who,කවුද,யார்,Who|කවුද|யார்,366
Whom,කාටද,யாருக்கு,Whom|කාටද|யாருக்கு,364
Whose,කාගේද,யாருடையது,Whose|කාගේද|யாருடையது,365
Window,කවුළුව,ஜன்னல்,Window|කවුළුව|ஜன்னல்,369
You,ඔයා,நீ,You|ඔයා|நீ,379
One,එක,ஒன்று,One|එක|ஒன்று,222
Two,දෙක,இரண்டு,Two|දෙක|இரண்டு,342
Three,තුන,மூன்று,Three|තුන|மூன்று,326
Four,හතර,நான்கு,Four|හතර|நான்கு,117
Five,පහ,ஐந்து,Five|පහ|ஐந்து,112
Six,හය,ஆறு,Six|හය|ஆறு,286
Seven,හත,ஏழு,Seven|හත|ஏழு,275
Eight,අට,எட்டு,Eight|අට|எட்டு,89
Nine,නවය,ஒன்பது,Nine|නවය|ஒன்பது,213
Ten,දහය,பத்து,Ten|දහය|பத்து,317
Eleven,එකොළහ,பதினொன்று,Eleven|එකොළහ|பதினொன்று,93
Twelve,දොළහ,பன்னிரண்டு,Twelve|දොළහ|பன்னிரண்டு,340
Thirteen,දහතුන,பதின்மூன்று,Thirteen|දහතුන|பதின்மூன்று,325
Fourteen,දහහතර,பதிநான்கு,Fourteen|දහහතර|பதிநான்கு,116
Fifteen,පහළහ,பதினைந்து,Fifteen|පහළහ|பதினைந்து,110
Sixteen,දහසය,பதினாறு,Sixteen|දහසය|பதினாறு,285
Seventeen,දහහත,பதினேழு,Seventeen|දහහත|பதினேழு,274
Eighteen,දහඅට,பதினெட்டு,Eighteen|දහඅට|பதினெட்டு,88
Nineteen,දහනවය,பத்தொன்பது,Nineteen|දහනවය|பத்தொன்பது,212
Twenty,විස්ස,இருபது,Twenty|විස්ස|இருபது,341
Addition,එකතු කිරීම,கூட்டல்,Addition|එකතු කිරීම|கூட்டல்,0
Count,ගණන් කරන්න,எண்ணிக்கை,Count|ගණන් කරන්න|எண்ணிக்கை,62
Divide,බෙදන්න,வகுத்தல்,Divide|බෙදන්න|வகுத்தல்,78
Equal,සමාන,சமம்,Equal|සමාන|சமம்,95
Multiplication,ගුණ කිරීම,பெருக்கல்,Multiplication|ගුණ කිරීම|பெருக்கல்,203
Subtraction,අඩු කිරීම,கழித்தல்,Subtraction|අඩු කිරීම|கழித்தல்,301
Aunt,නැන්දා,மாமி,Aunt|නැන්දා|மாமி,11
Baby,බබා,குழந்தை,Baby|බබා|குழந்தை,13
Bro,සහෝදරයා,சகோதரன்,Bro|සහෝදරයා|சகோதரன்,30
Brother-in-law,මස්සිනා,மைத்துனர்,Brother-in-law|මස්සිනා|மைத்துனர்,28
Child,දරුවා,குழந்தை,Child|දරුවා|குழந்தை,47
Daughter,දුව,மகள்,Daughter|දුව|மகள்,70
Doctor,වෛද්‍යවරයා,மருத்துவர்,Doctor|වෛද්‍යවරයා|மருத்துவர்,79
Elder bro,අයියා,அண்ணன்,Elder bro|අයියා|அண்ணன்,90
Elder sister,අක්කා,அக்கா,Elder sister|අක්කා|அக்கா,91
Families,පවුල්,குடும்பங்கள்,Families|පවුල්|குடும்பங்கள்,102
Family,පවුල,குடும்பம்,Family|පවුල|குடும்பம்,103
Father,තාත්තා,அப்பா,Father|තාත්තා|அப்பா,105
Grand father,සීයා,தாத்தா,Grand father|සීයා|தாத்தா,128
Grand mother,ආච්චි,பாட்டி,Grand mother|ආච්චි|பாட்டி,129
Grand son,මුණුපුරා,பேரன்,Grand son|මුණුපුරා|பேரன்,130
Husband,සැමියා,கணவன்,Husband|සැමියා|கணவன்,157
Lady,කාන්තාව,பெண்மணி,Lady|කාන්තාව|பெண்மணி,172
Man,මිනිසා,ஆண்,Man|මිනිසා|ஆண்,188
Mother,අම්මා,அம்மா,Mother|අම්මා|அம்மா,200
Player,ක්‍රීඩකයා,வீரர்,Player|ක්‍රීඩකයා|வீரர்,241
Police,පොලිසිය,போலீஸ்,Police|පොලිසිය|போலீஸ்,246
Relations,ඥාති,உறவினர்,Relations|ඥාති|உறவினர்,257
She,ඇය,அவள்,She|ඇය|அவள்,276
Sister,සහෝදරිය,சகோதரி,Sister|සහෝදරිය|சகோதரி,283
Sister-in-law,නෑනා,மைத்துனி,Sister-in-law|නෑනා|மைத்துனி,282
Son,පුතා,மகன்,Son|පුතා|மகன்,294
Thief,හොරා,திருடன்,Thief|හොරා|திருடன்,322
Uncle,මාමා,மாமா,Uncle|මාමා|மாமா,344
Us,අපි,நாம்,Us|අපි|நாம்,349
Wife,බිරිඳ,மனைவி,Wife|බිරිඳ|மனைவி,368
Younger bro,මල්ලි,தம்பி,Younger bro|මල්ලි|தம்பி,377
Younger sister,නංගී,தங்கை,Younger sister|නංගී|தங்கை,378
Airport,ගුවන්තොටුපළ,விமான நிலையம்,Airport|ගුවන්තොටුපළ|விமான நிலையம்,3
Bank,බැංකුව,வங்கி,Bank|බැංකුව|வங்கி,16
Bus station,බස් නැවතුම්පළ,பேருந்து நிலையம்,Bus station|බස් නැවතුම්පළ|பேருந்து நிலையம்,31
Church,පල්ලිය,தேவாலயம்,Church|පල්ලිය|தேவாலயம்,50
Hospital,රෝහල,மருத்துவமனை,Hospital|රෝහල|மருத்துவமனை,150
House,නිවස,வீடு,House|නිවස|வீடு,152
Location,ස්ථානය,இடம்,Location|ස්ථානය|இடம்,181
Next door,අල්ලපු ගෙදර,அடுத்த வீடு,Next door|අල්ලපු ගෙදර|அடுத்த வீடு,208
Police station,පොලිස් ස්ථානය,காவல் நிலையம்,Police station|පොලිස් ස්ථානය|காவல் நிலையம்,245
Road,මාර්ගය,சாலை,Road|මාර්ගය|சாலை,260
Shop,සාප්පුව,கடை,Shop|සාප්පුව|கடை,278
Temple,පන්සල,கோவில்,Temple|පන්සල|கோவில்,316
Train station,දුම්රිය ස්ථානය,ரயில் நிலையம்,Train station|දුම්රිය ස්ථානය|ரயில் நிலையம்,335
After,පසු,பிறகு,After|පසු|பிறகு,1
Around,වටා,சுற்றி,Around|වටා|சுற்றி,8
In,තුල,உள்ளே,In|තුල|உள்ளே,164
Inside,ඇතුලතින්,அகத்தில்,Inside|ඇතුලතින්|அகத்தில்,161
Near,ළඟ,அருகில்,Near|ළඟ|அருகில்,205
On,මත,மீது,On|මත|மீது,223
Out,පිට,வெளியே,Out|පිට|வெளியே,229
Over,ඉහළින්,மேல்,Over|ඉහළින්|மேல்,230
Than,වඩා,விட,Than|වඩා|விட,320
To,වෙත,செய்ய,To|වෙත|செய்ய,334
Until,දක්වා,வரை,Until|දක්වා|வரை,346
Up,ඉහළට,மேலே,Up|ඉහළට|மேலே,347
Bicycle,බයිසිකලය,மிதிவண்டி,Bicycle|බයිසිකලය|மிதிவண்டி,20
Boat,බෝට්ටු,படகு,Boat|බෝට්ටු|படகு,23
Bus,බස්,பேருந்து,Bus|බස්|பேருந்து,32
Car,කාර්,கார்,Car|කාර්|கார்,40
Motorcycle,මෝටර්සයිකල්,மோட்டார்சைக்கிள்,Motorcycle|මෝටර්සයිකල්|மோட்டார்சைக்கிள்,201
Plane,ගුවන් යානය,விமானம்,Plane|ගුවන් යානය|விமானம்,240
Tire,ටයර්,டயர்,Tire|ටයර්|டயர்,331
Train,දුම්රිය,ரயில்,Train|දුම්රිය|ரயில்,336
Van,වෑන්,வேன்,Van|වෑන්|வேன்,350
Vehicle,වාහනය,வாகனம்,Vehicle|වාහනය|வாகனம்,351
Allow,ඉඩ දෙන්න,அனுமதி,Allow|ඉඩ දෙන්න|அனுமதி,4
Bathe,නානවා,குளிக்கவும்,Bathe|නානවා|குளிக்கவும்,17
Boil,උනු,கொதிக்கவும்,Boil|උනු|கொதிக்கவும்,24
Break,කඩනවා,உடைக்க,Break|කඩනවා|உடைக்க,26
Bring,අරගෙන ආ,கொண்டு வா,Bring|අරගෙන ආ|கொண்டு வா,27
Buy,ගන්නවා,வாங்கு,Buy|ගන්නවා|வாங்கு,33
Carry,උස්සනවා,தூக்கு,Carry|උස්සනවා|தூக்கு,39
Change,වෙනස් කරන්න,மாற்று,Change|වෙනස් කරන්න|மாற்று,45
Choose,තෝරන්න,தேர்வு செய்,Choose|තෝරන්න|தேர்வு செய்,49
Click,ක්ලික් කරන්න,கிளிக்,Click|ක්ලික් කරන්න|கிளிக்,52
Come,එන්න,வா,Come|එන්න|வா,56
Connect,සම්බන්ධ කරන්න,இணை,Connect|සම්බන්ධ කරන්න|இணை,58
Cook,උයන්න,சமைக்கவும்,Cook|උයන්න|சமைக்கவும்,59
Copy,පිටපත් කරන්න,நகலெடு,Copy|පිටපත් කරන්න|நகலெடு,60
Cough,කැස්ස,இருமல்,Cough|කැස්ස|இருமல்,61
Cover,ආවරණය කරන්න,மூடு,Cover|ආවරණය කරන්න|மூடு,63
Cry,අඬන්න,அழு,Cry|අඬන්න|அழு,66
Cut,කපන්න,வெட்டு,Cut|කපන්න|வெட்டு,68
Dance,නටන්න,நடனம்,Dance|නටන්න|நடனம்,69
Done,අවසන් කලා,முடிந்தது,Done|අවසන් කලා|முடிந்தது,80
Draw,අඳින්න,வரைய,Draw|අඳින්න|வரைய,85
Drink,බොන්න,குடிக்கவும்,Drink|බොන්න|குடிக்கவும்,86
Eat,කන්න,சாப்பிடு,Eat|කන්න|சாப்பிடு,87
Enter,ඇතුල් වන්න,உள்ளே வா,Enter|ඇතුල් වන්න|உள்ளே வா,94
Erase,මකන්න,அழி,Erase|මකන්න|அழி,96
Exchange,මාරු කරන්න,மாற்றவும்,Exchange|මාරු කරන්න|மாற்றவும்,98
Feel,හැඟීම,உணருங்கள்,Feel|හැඟීම|உணருங்கள்,108
Fight,සටන් කරන්න,சண்டை,Fight|සටන් කරන්න|சண்டை,111
Follow,අනුව,பின்தொடர்,Follow|අනුව|பின்தொடர்,114
Get up,නැඟිටින්න,எழுந்திரு,Get up|නැඟිටින්න|எழுந்திரு,120
Give,දෙන්න,கொடு,Give|දෙන්න|கொடு,121
Go,යන්න,போ,Go|යන්න|போ,127
Guide,මඟ පෙන්වන්න,வழிகாட்டி,Guide|මඟ පෙන්වන්න|வழிகாட்டி,134
Hang,රැඳී සිටින්න,தொங்கு,Hang|රැඳී සිටින්න|தொங்கு,136
Hear,අහන්න,கேள்,Hear|අහන්න|கேள்,142
Help,උදව් කරන්න,உதவி,Help|උදව් කරන්න|உதவி,144
Hit,මරන්න,அடிக்க,Hit|මරන්න|அடிக்க,149
How,කොහොමද,எப்படி,How|කොහොමද|எப்படி,156
I know,මම දන්නවා,எனக்கு தெரியும்,I know|මම දන්නවා|எனக்கு தெரியும்,158
Jump,පනින්න,குதிக்க,Jump|පනින්න|குதிக்க,168
Knock,තට්ටු කරන්න,தட்டவும்,Knock|තට්ටු කරන්න|தட்டவும்,171
Laugh,හිනාවන්න,சிரிக்கவும்,Laugh|හිනාවන්න|சிரிக்கவும்,174
Lead,නායකත්වය,தலைமைத்துவம்,Lead|නායකත්වය|தலைமைத்துவம்,175
Let,ඉඩ දෙන්න,அனுமதிக்க,Let|ඉඩ දෙන්න|அனுமதிக்க,177
Like,කැමතියි,விருப்பு,Like|කැමතියි|விருப்பு,178
Listen,අහන්න,கேள்,Listen|අහන්න|கேள்,179
Look,බලන්න,பார்க்க,Look|බලන්න|பார்க்க,183
Love,ආදරය,காதல்,Love|ආදරය|காதல்,185
Make,සාදන්න,செய்ய,Make|සාදන්න|செய்ய,187
Meet,හමු වෙන්න,சந்திக்க,Meet|හමු වෙන්න|சந்திக்க,191
Now,දැන්,இப்போது,Now|දැන්|இப்போது,217
Open,විවෘත කරන්න,திற,Open|විවෘත කරන්න|திற,224
Order,ඇණවුම් කරන්න,ஆர்டர்,Order|ඇණවුම් කරන්න|ஆர்டர்,226
Peeing,මුත්‍රා කිරීම,சிறுநீர் கழிக்க,Peeing|මුත්‍රා කිරීම|சிறுநீர் கழிக்க,236
Play,සෙල්ලම් කරන්න,விளையாடு,Play|සෙල්ලම් කරන්න|விளையாடு,242
Pull,ඇදගෙන යන්න,இழுத்து,Pull|ඇදගෙන යන්න|இழுத்து,250
Put,දමන්න,போடு,Put|දමන්න|போடு,252
Quickly,ඉක්මන්,விரைவாக,Quickly|ඉක්මන්|விரைவாக,253
Run,දුවන්න,ஓடு,Run|දුවන්න|ஓடு,261
Scratch,ගහන්න,கீறல்,Scratch|ගහන්න|கீறல்,266
Search,සෙවීම,தேடு,Search|සෙවීම|தேடு,267
See,බලන්න,பார்,See|බලන්න|பார்,269
Select,තෝරන්න,தேர்வு,Select|තෝරන්න|தேர்வு,270
Sell,විකුණන්න,விற்க,Sell|විකුණන්න|விற்க,271
Show,පෙන්වන්න,காட்ட,Show|පෙන්වන්න|காட்ட,279
Sit,ඉඳගන්න,உட்கார்,Sit|ඉඳගන්න|உட்கார்,284
Sleep,නිදාගන්න,தூங்கு,Sleep|නිදාගන්න|தூங்கு,288
